id,response,response_nofill,item,item_nofill,SemDis_cbowukwacsubtitle_nf_m,SemDis_cbowsubtitle_nf_m,SemDis_cbowBNCwikiukwac_nf_m,SemDis_TASA_nf_m,SemDis_glove_nf_m,SemDis_MEAN,SemDis_factor
1965,behind car,behind car,tin can,tin can,0.78691,0.95711,1.0252,0.98505,0.40925,0.8327,-0.07648
2013,make toys car,make toys car,tin can,tin can,1.03004,1.06277,1.07476,1.00308,1.70092,1.17431,0.09778
2014,include cutting,include cutting,tin can,tin can,1.01765,1.07459,1.01128,1.04427,0.31923,0.8934,0.0314
2015,seal the boat that is leaking,seal boat leaking,tin can,tin can,0.96678,0.91249,0.95347,0.93295,1.31536,1.01621,0.00774
2016,water collection,water collection,tin can,tin can,0.9293899999999999,1.01931,1.02003,0.99511,0.35374000000000005,0.86352,-0.01191
2017,make a car with it,make car,tin can,tin can,0.83045,0.91402,0.8964300000000001,0.82677,0.31623,0.75678,-0.09916
2018,make a washbasin,make washbasin,tin can,tin can,0.95272,0.9654,0.987,0.9857899999999999,1.47534,1.07325,0.02519
2019,planter,planter,tin can,tin can,0.94273,0.91545,1.01936,0.96995,0.94088,0.95767,-0.00238
2046,ice cream mold,ice cream mold,tin can,tin can,1.05415,0.93816,1.07905,1.08044,1.15493,1.06135,0.06903
2134,play soccer,play soccer,tin can,tin can,0.83646,1.03415,0.98858,1.01599,0.5969800000000001,0.89443,-0.04218
2135,shake open and enjoy a cola shower,shake open enjoy cola shower,tin can,tin can,0.94833,0.99445,0.96604,0.98987,1.65249,1.11024,0.03143
2136,put in a mouse hole so that those bastards can't get out,put mouse hole bastards get,tin can,tin can,0.91314,0.97639,1.01918,0.7243999999999999,0.42037,0.8107,-0.03281
2137,rolling as a bowling ball,rolling bowling ball,tin can,tin can,1.09432,1.11895,0.97099,1.00756,1.20292,1.07895,0.09479
2138,use as an ice hockey puck,use ice hockey puck,tin can,tin can,0.87142,0.97458,1.09272,0.94655,0.58277,0.89361,-0.02211
2139,four cans on their sides board on them and skateboarding,four cans sides board skateboarding,tin can,tin can,0.86382,1.01268,1.14277,0.97472,1.6427399999999999,1.12735,0.03226
2140,use as dumbbells,use dumbbells,tin can,tin can,0.8152200000000001,0.87382,0.92496,1.04681,1.4512800000000001,1.02242,-0.05519
2148,tap against it for music,tap music,tin can,tin can,0.91077,1.1011,0.95737,1.04984,0.49750000000000005,0.90332,-0.00965
2149,use as a ball for games such as soccer,use ball games soccer,tin can,tin can,0.80423,1.04726,0.996,1.00072,0.35549,0.84074,-0.06133
2150,filming as atmosphere in neighborhood,filming atmosphere neighborhood,tin can,tin can,0.99848,1.03142,0.94255,1.02774,1.61938,1.12391,0.05341
2151,hand training by crumpling,hand training crumpling,tin can,tin can,1.01858,1.00881,1.00644,0.97277,0.34460999999999997,0.87024,0.0183
2152,pitching,pitching,tin can,tin can,0.96335,1.08242,1.01152,0.92636,1.07828,1.01239,0.03613
2153,wasp trap a trap,wasp trap trap,tin can,tin can,1.09911,1.01356,1.0207600000000001,0.94024,0.62424,0.93958,0.06348
2154,in garden against cats,garden cats,tin can,tin can,0.92836,1.0839,0.95765,0.95804,0.5287299999999999,0.89134,-0.00752
2155,sharp cutting,sharp cutting,tin can,tin can,0.7762,0.8959,0.95331,0.97808,0.5166,0.82402,-0.10032
2156,rolling rolling dough or something else,rolling rolling dough something else,tin can,tin can,1.09926,1.03318,1.02608,0.90524,0.98251,1.00925,0.08037
2182,pen holder,pen holder,tin can,tin can,0.89344,0.92962,1.0255,1.2421,0.75127,0.96839,-0.01618
2183,father's day gift,father day gift,tin can,tin can,1.03172,1.25809,0.99742,1.05481,1.66494,1.2014,0.11745
2184,decorate,decorate,tin can,tin can,0.94228,0.99199,0.99293,1.02028,1.01982,0.99346,0.01024
7305,pool for ants,pool ants,tin can,tin can,0.93907,1.08233,0.99419,1.06761,0.81664,0.97997,0.01819
7306,pen holder,pen holder,tin can,tin can,0.89344,0.92962,1.0255,1.2421,0.75127,0.96839,-0.01618
7307,tab off,tab,tin can,tin can,0.92893,1.04826,1.03643,1.06382,0.99378,1.01424,0.02287
7308,camera tripod,camera tripod,tin can,tin can,0.85378,0.8174,0.99794,0.98463,1.05368,0.94149,-0.05339
7309,ice hockey puck,ice hockey puck,tin can,tin can,1.0977999999999999,1.00519,0.98877,1.05671,1.08957,1.04761,0.07776
7310,magnet testing,magnet testing,tin can,tin can,1.03394,0.99073,1.0723799999999999,1.08597,0.44598000000000004,0.9258,0.04143
7311,collect,collect,tin can,tin can,0.91821,0.96359,0.92868,1.06298,1.3525,1.04519,-0.00158
7312,stacking,stacking,tin can,tin can,1.04735,1.09696,1.05631,1.071,0.92,1.03832,0.07937
7313,hat,hat,tin can,tin can,0.95051,1.05131,0.96008,1.0613,1.10867,1.02637,0.02232
7314,from drinking,drinking,tin can,tin can,0.91775,1.02938,0.94669,0.94778,1.32799,1.03392,0.00753
7315,wallpaper,wallpaper,tin can,tin can,0.93254,0.98921,1.09073,0.94284,0.91888,0.97484,0.01719
7316,rolls,rolls,tin can,tin can,0.90801,1.00278,1.0101,0.98358,1.09928,1.00075,0.00328
7317,money box,money box,tin can,tin can,0.71844,0.90643,0.94797,0.83263,0.39442,0.75998,-0.13247
7318,seat cover,seat cover,tin can,tin can,0.8229,1.03945,0.94851,0.99858,0.39117999999999997,0.84012,-0.0626
7319,reflector on bicycle,reflector bicycle,tin can,tin can,0.93874,0.93477,0.97885,0.97687,1.13917,0.99368,-2.9e-4
7320,ashtray,ashtray,tin can,tin can,0.93379,1.05795,1.01425,0.94028,0.97945,0.98514,0.01742
